bornIn,tmdbId,born,name,bio,died,poster,n.url
"""Ireland, United Kingdom""","""25165""","""1887-09-04""","""Roy William Neill""","""From Wikipedia, the free encyclopedia.   Roy William Neill (4 September 1887 – 14 December 1946) was a film director best known today for directing several of the Sherlock Holmes films starring Basil Rathbone and Nigel Bruce, made between 1943 and 1946 and released by Universal Studios. 

With his father as the captain, Neill was born on a ship off the coast of Ireland named Roland de Gostrie.  He began directing silent movies in 1917 and went on to helm 107 films, 40 of them silent...""","""1946-12-14""","""https://image.tmdb.org/t/p/w440_and_h660_face/rFdj73VUiNBJJtmq4C4BQKW3kJE.jpg""","""https://themoviedb.org/person/25165"""
"""New York City, New York, USA""","""84641""","""1890-09-30""","""Lewis Seiler""","""From Wikipedia, the free encyclopedia

Lewis Seiler (September 30, 1890 – January 8, 1964) was an American film director.  He directed 88 films between 1923 and 1958.  He was born in New York, New York and died in Hollywood, California...""","""1964-01-08""",null,"""https://themoviedb.org/person/84641"""
"""Tazewell, Virginia, USA""","""12300""","""1907-12-22""","""Fred M. Wilcox""","""From Wikipedia, the free encyclopedia

Fred McLeod Wilcox (December 22, 1907 – September 23, 1964) was an American motion picture director.  He worked for Metro-Goldwyn-Mayer for many years best remembered for directing Lassie Come Home (1943) and Forbidden Planet (1956).  These films were entered in the National Film Preservation Board's National Film Registry in 1993 and 2013 respectively...""","""1964-09-23""",null,"""https://themoviedb.org/person/12300"""
"""Miskolc, Hungary""","""37846""","""1902-12-05""",""" Emeric Pressburger""","""Emeric Pressburger (born Imre József Pressburger; 5 December 1902 – 5 February 1988) was a Hungarian British screenwriter, film director, and producer...""","""1988-02-05""","""https://image.tmdb.org/t/p/w440_and_h660_face/byPJw21EY1pUWHJtthCs7wUtvoA.jpg""","""https://themoviedb.org/person/37846"""
"""Los Angeles, California, USA""","""78845""","""1898-07-25""","""Arthur Lubin""","""​From Wikipedia, the free encyclopedia

Arthur Lubin (July 25, 1898 – May 12, 1995) was an American film director and producer who directed several Abbott &amp; Costello films and created the TV series Mr.  Ed. 

Arthur Lubin was born Arthur William Lubovsky in Los Angeles, California in 1898.  Lubin created his own film and music studio, Lubin Studios, in the 1920s, where he acted in silent films in the later half of the decade...""","""1995-05-12""","""https://image.tmdb.org/t/p/w440_and_h660_face/b7E0lIlYv0C0S3l165hPjLWqu2X.jpg""","""https://themoviedb.org/person/78845"""
"""Dresden, Germany""","""5029""","""1900-08-08""","""Robert Siodmak""","""​From Wikipedia, the free encyclopedia.   

Robert Siodmak (8 August 1900 - 10 March 1973) was a German born American film director.  He is best remembered as a thriller specialist and for the series of Hollywood film noirs he made in the 1940s. 

Description above from the Wikipedia article Robert Siodmak, licensed under CC-BY-SA, full list of contributors on Wikipedia...""","""1973-03-10""","""https://image.tmdb.org/t/p/w440_and_h660_face/6Az7VLGpET7wtVLQPfsrCJGPaL8.jpg""","""https://themoviedb.org/person/5029"""
"""Pola, Küstenland, Austria-Hungary [now Pula, Istria, Croatia]""","""33414""","""1906-07-15""","""Gunther von Fritsch""",null,"""1988-08-27""",null,"""https://themoviedb.org/person/33414"""
"""London, England""","""103346""","""1899-09-17""","""Leslie Goodwins""","""From Wikipedia, the free encyclopedia.   Leslie Goodwins (17 September 1899 – 8 January 1969) was an English film director and screenwriter.  He directed nearly 100 films between 1926 and 1967.  His 1936 film Dummy Ache was nominated for an Academy Award in 1936 for Best Short Subject (Two-Reel).   He was born in London, England and he died in Hollywood, California...""","""1969-01-08""","""https://image.tmdb.org/t/p/w440_and_h660_face/e3942phwO7JQorBskeUhJWMtNuj.jpg""","""https://themoviedb.org/person/103346"""
"""Vienna, Austria""","""100793""","""1902-12-11""","""Reginald Le Borg""","""​From Wikipedia, the free encyclopedia.   

Reginald Le Borg (11 December 1902 – 25 March 1989) was an Austrian film director.  He directed 68 films between 1936 and 1974.  He was born in Vienna, Austria as Reginald Grobel and died in Los Angeles, California from a heart attack. 

Although he worked in a variety of genres, he is perhaps best remembered today for the series of low-budget horror films he made at Universal Studios in the 1940s...""","""1989-03-25""","""https://image.tmdb.org/t/p/w440_and_h660_face/iWAwwc6fpWBJxUN3b9D9ZnTHGH9.jpg""","""https://themoviedb.org/person/100793"""
"""Grand Forks, British Columbia, Canada""","""64114""","""1908-09-04""","""Edward Dmytryk""","""Edward Dmytryk (September 4, 1908 – July 1, 1999) was an American film director who was amongst the Hollywood Ten, a group of blacklisted film industry professionals who served time in prison for being in contempt of Congress during the McCarthy-era 'red scare'. 

Although born in Grand Forks, British Columbia, Canada, Dmytryk grew up in San Francisco when his Ukrainian parents moved to the United States.  At the age of 31, he became a naturalized citizen...""","""1999-07-01""","""https://image.tmdb.org/t/p/w440_and_h660_face/jFJg3ddu0LJlcOeBCaSLVQLgzHy.jpg""","""https://themoviedb.org/person/64114"""
"""Croydon, Surrey, England, UK""","""12238""","""1908-03-25""","""David Lean""","""Sir David Lean CBE (25 March 1908 – 16 April 1991) was an English film director, producer, screenwriter, and editor, best remembered for bringing Charles Dickens's novels to the screen with films such as Great Expectations (1946) and Oliver Twist (1948), and for his big-screen epics such as The Bridge on the River Kwai (1957), Lawrence of Arabia (1962), Doctor Zhivago (1965), Ryan's Daughter (1970), and A Passage to India (1984)...""","""1991-04-16""","""https://image.tmdb.org/t/p/w440_and_h660_face/yuEUFHLcjsURniy67XekWDbV2TS.jpg""","""https://themoviedb.org/person/12238"""
"""Paris, France""","""25161""","""1906-08-18""","""Marcel Carné""","""Born in Paris, France, the son of a cabinet maker whose wife died when their son was five, Marcel Carné began his career as a film critic, becoming editor of the weekly publication, Hebdo-Films, and working for Cinémagazine and Cinémonde between 1929 and 1933.  In the same period he worked in silent film as a camera assistant with director Jacques Feyder.  By age 25, Carné had already directed his first short film, Nogent, Eldorado du dimanche (1929)...""","""1996-10-31""","""https://image.tmdb.org/t/p/w440_and_h660_face/6ZFHCA0MlQDLIMUzUykmA1Nx08G.jpg""","""https://themoviedb.org/person/25161"""
"""Chicago, Illinois, USA""","""117773""","""1910-03-09""","""S. Sylvan Simon""",null,"""1951-05-17""","""https://image.tmdb.org/t/p/w440_and_h660_face/4SrnnvwsWAvAwvnZ2042DNkv8y1.jpg""","""https://themoviedb.org/person/117773"""
"""Budapest, Austria-Hungary [now Hungary]""","""32134""","""1900-07-26""","""Charles Vidor""","""Charles Vidor (July 27, 1900 – June 4, 1959) was a film director.  Born Károly Vidor to a Jewish family in Budapest, Hungary, he served in the Hungarian Army during World War I.  He first came to prominence during the final years of the silent film era.  Among his film successes are The Bridge (1929), Cover Girl (1944), A Song to Remember (1945), Gilda (1946), The Loves of Carmen (1948), Love Me or Leave Me (1955), The Swan (1956), The Joker Is Wild (1957), and A Farewell to Arms (1957)...""","""1959-06-04""","""https://image.tmdb.org/t/p/w440_and_h660_face/iLZxqxrLquOhRThV6iqgcb0LgET.jpg""","""https://themoviedb.org/person/32134"""
"""Chiavenna, Lombardy, Italy""","""64864""","""1901-06-12""",""" Clyde Geronimi""","""From Wikipedia, the free encyclopedia. 

Clyde \""Gerry\"" Geronimi (June 12, 1901 - April 24, 1989) was an Italian-American animation director.  He is best known for his work at Walt Disney Productions. 

Geronimi was born in Chiavenna, Italy, immigrating to the United States as a young child.  Geronimi's earliest work in the animation field was for the J. R.  Bray Studios, where he worked with Walter Lantz.  Geronimi left Bray in 1931 to join Walt Disney Productions, where he remained until 1959...""","""1989-04-24""","""https://image.tmdb.org/t/p/w440_and_h660_face/vRoKAQ8Wb1nTymH6VqOfhbqL3H9.jpg""","""https://themoviedb.org/person/64864"""
"""Maisons-Laffitte, France""","""9730""","""1889-07-05""","""Jean Cocteau""","""From Wikipedia, the free encyclopedia

Jean Maurice Eugène Clément Cocteau (French pronunciation: [ʒɑ̃ kɔkto]; 5 July 1889 – 11 October 1963) was a French poet, novelist, dramatist, designer, boxing manager, playwright, artist and filmmaker.  Along with other avant-garde artists of his generation (Jean Anouilh and René Char for example) Cocteau grappled with the algebra of verbal codes old and new, mise en scène language and technologies of modernism to create a paradox: a classical avant-garde...""","""1963-10-11""","""https://image.tmdb.org/t/p/w440_and_h660_face/vD73WSmN0hH3ZDjlh6n73CJI5sC.jpg""","""https://themoviedb.org/person/9730"""
"""Bordeaux, Gironde, Aquitaine, France""","""9740""","""1913-03-18""",""" René Clément""","""​From Wikipedia, the free encyclopedia

René Clément (March 18, 1913, Bordeaux – March 17, 1996, Monte Carlo, Monaco) was a French film director and screenwriter.  Clément studied architecture at the Ecole des Beaux-Arts where he developed an interest in filmmaking.  In 1936, he directed his first film, a 20 minute short written and featuring Jacques Tati.  Clément spent the latter part of the 1930s making documentaries in parts of the Middle East and Africa...""","""1996-03-17""","""https://image.tmdb.org/t/p/w440_and_h660_face/z8mgHCLlND5B0rNaTdm9Ag1AtKz.jpg""","""https://themoviedb.org/person/9740"""
null,"""233136""","""1895-12-02""",""" Otto Brower""",null,"""1946-01-25""",null,"""https://themoviedb.org/person/233136"""
"""New Haven, Connecticut, USA""","""11489""","""1896-07-29""",""" William Cameron Menzies""","""From Wikipedia, the free encyclopedia. 

William Cameron Menzies (July 29, 1896 – March 5, 1957) was an Academy Award-winning American film production designer (a job title he invented) and art director who also worked as a director, producer, and screenwriter during a career spanning five decades.  He earned acclaim for his work in silent movies, and later pioneered the use of color in film for dramatic effect...""","""1957-03-05""","""https://image.tmdb.org/t/p/w440_and_h660_face/ydx0eRPERKg6oD9r3horgYGJkaK.jpg""","""https://themoviedb.org/person/11489"""
"""Edgeley, Stockport, Cheshire, England, UK""","""14292""","""1908-02-15""","""Sidney Gilliat""","""From Wikipedia, the free encyclopedia

Sidney Gilliat (15 February 1908 – 31 May 1994) was an English film director, producer and writer. 

He was born in the district of Edgeley in Stockport, Cheshire.  In the 1930s he worked as a scriptwriter, most notably with Frank Launder on The Lady Vanishes (1938) for Alfred Hitchcock, and its sequel Night Train to Munich (1940), directed by Carol Reed.  He and Launder made their directorial debut co-directing the home front drama Millions Like Us (1943)...""","""1994-05-31""","""https://image.tmdb.org/t/p/w440_and_h660_face/qLjqxmoQHBzaxerI2gm2SMtPRYG.jpg""","""https://themoviedb.org/person/14292"""
"""California, USA""","""142526""","""1909-04-01""","""Robert Cormack""",null,"""1952-03-25""",null,"""https://themoviedb.org/person/142526"""
"""Greenwood, Mississippi, USA""","""222238""","""1911-03-12""",""" Joshua Meador""","""Known for his work on Fantasia (1940), Cinderella (1950) and Sleeping Beauty (1959).  He was married to Libby Meador...""","""1965-08-01""",null,"""https://themoviedb.org/person/222238"""
"""Los Angeles, California, USA""","""74878""","""1894-06-13""","""Tay Garnett""","""From Wikipedia, the free encyclopedia. 

Tay Garnett  (born William Taylor Garnett 13 June 1894 – 3 October 1977) was an American film director and writer. 

Born in Los Angeles, California, Garnett served as a naval aviator in World War I and entered films as a screenwriter in 1920.  He was a gagwriter for Mack Sennett and Hal Roach, then joined Pathé and began to direct films in 1928...""","""1977-10-03""","""https://image.tmdb.org/t/p/w440_and_h660_face/rJ8BLFlddNDRIgIPcvxTaTuOitu.jpg""","""https://themoviedb.org/person/74878"""
null,"""275022""",null,""" Harve Foster""",null,null,null,"""https://themoviedb.org/person/275022"""
"""Chicago, Illinois, USA""","""50302""","""1905-07-02""","""James Edward Grant""","""From Wikipedia, the free encyclopedia

James Edward Grant (July 2, 1905 - February 19, 1966) was an American short story writer and screenwriter who contributed to more than fifty films between 1935 and 1971. 

Born in Chicago, Grant began his career in the mid-1930s developing stories or writing scripts for mostly B movies.  He collaborated with John Wayne on twelve projects, starting with Angel and the Badman (which he also directed) in 1947 through Circus World in 1964...""","""1966-02-19""",null,"""https://themoviedb.org/person/50302"""
